yyyy-mm-dd,HH:MM,team1,team2,score1,score2
2009-11-22,00:00,Roma,Bari,3,1
2009-11-22,00:00,Sampdoria,Chievo,2,1
2009-11-22,00:00,Siena,Atalanta,0,2
2009-11-28,00:00,Genoa,Sampdoria,3,0
2009-11-28,00:00,Udinese,Livorno,2,0
2009-11-29,00:00,Atalanta,Roma,1,2
2009-11-29,00:00,Bari,Siena,2,1
2009-11-29,00:00,Cagliari,Juventus,2,0
2009-11-29,00:00,Catania,Milan,0,2
2009-11-29,00:00,Chievo,Palermo,1,0
2009-11-29,00:00,Inter,Fiorentina,1,0
2009-11-29,00:00,Lazio,Bologna,0,0
2009-11-29,00:00,Parma,Napoli,1,1
2009-12-05,00:00,Juventus,Inter,2,1
2009-12-05,00:00,Milan,Sampdoria,3,0
2009-12-06,00:00,Bologna,Udinese,2,1
2009-12-06,00:00,Fiorentina,Atalanta,2,0
2009-12-06,00:00,Genoa,Parma,2,2
2009-12-06,00:00,Livorno,Chievo,0,2
2009-12-06,00:00,Napoli,Bari,3,2
2009-12-06,00:00,Palermo,Cagliari,2,1
2009-12-06,00:00,Roma,Lazio,1,0
2009-12-06,00:00,Siena,Catania,3,2
2009-12-12,00:00,Bari,Juventus,3,1
2009-12-12,00:00,Cagliari,Napoli,3,3
2009-12-13,00:00,Atalanta,Inter,1,1
2009-12-13,00:00,Catania,Livorno,0,1
2009-12-13,00:00,Chievo,Fiorentina,2,1
2009-12-13,00:00,Lazio,Genoa,1,0
2009-12-13,00:00,Milan,Palermo,0,2
2009-12-13,00:00,Parma,Bologna,2,1
2009-12-13,00:00,Sampdoria,Roma,0,0
2009-12-13,00:00,Siena,Udinese,2,1
2009-12-20,00:00,Inter,Lazio,1,0
2009-12-20,00:00,Juventus,Catania,1,2
2009-12-20,00:00,Livorno,Sampdoria,3,1
2009-12-20,00:00,Napoli,Chievo,2,0
2009-12-20,00:00,Palermo,Siena,1,0
2009-12-20,00:00,Roma,Parma,2,0
2010-01-06,00:00,Atalanta,Napoli,0,2
2010-01-06,00:00,Bari,Udinese,2,0
2010-01-06,00:00,Cagliari,Roma,2,2
2010-01-06,00:00,Catania,Bologna,1,0
2010-01-06,00:00,Chievo,Inter,0,1
2010-01-06,00:00,Lazio,Livorno,4,1
2010-01-06,00:00,Milan,Genoa,5,2
2010-01-06,00:00,Parma,Juventus,1,2
2010-01-06,00:00,Sampdoria,Palermo,1,1
2010-01-06,00:00,Siena,Fiorentina,1,5
2010-01-09,00:00,Inter,Siena,4,3
2010-01-09,00:00,Roma,Chievo,1,0
2010-01-10,00:00,Bologna,Cagliari,0,1
2010-01-10,00:00,Fiorentina,Bari,2,1
2010-01-10,00:00,Genoa,Catania,2,0
2010-01-10,00:00,Juventus,Milan,0,3
2010-01-10,00:00,Livorno,Parma,2,1
2010-01-10,00:00,Napoli,Sampdoria,1,0
2010-01-10,00:00,Palermo,Atalanta,1,0
2010-01-10,00:00,Udinese,Lazio,1,1
2010-01-16,00:00,Bari,Inter,2,2
2010-01-16,00:00,Cagliari,Livorno,3,0
2010-01-17,00:00,Atalanta,Lazio,3,0
2010-01-17,00:00,Chievo,Juventus,1,0
2010-01-17,00:00,Fiorentina,Bologna,1,2
2010-01-17,00:00,Milan,Siena,4,0
2010-01-17,00:00,Napoli,Palermo,0,0
2010-01-17,00:00,Parma,Udinese,0,0
2010-01-17,00:00,Roma,Genoa,3,0
2010-01-17,00:00,Sampdoria,Catania,1,1
2010-01-20,00:00,Bologna,Atalanta,2,2
2010-01-20,00:00,Genoa,Bari,1,1
2010-01-23,00:00,Catania,Parma,3,0
2010-01-23,00:00,Juventus,Roma,1,2
2010-01-24,00:00,Bologna,Bari,2,1
2010-01-24,00:00,Genoa,Atalanta,2,0
2010-01-24,00:00,Inter,Milan,2,0
2010-01-24,00:00,Lazio,Chievo,1,1
2010-01-24,00:00,Livorno,Napoli,0,2
2010-01-24,00:00,Palermo,Fiorentina,3,0
2010-01-24,00:00,Siena,Cagliari,1,1
2010-01-24,00:00,Udinese,Sampdoria,2,3
2010-01-30,00:00,Bari,Palermo,4,2
2010-01-30,00:00,Napoli,Genoa,0,0
2010-01-31,00:00,Cagliari,Fiorentina,2,2
2010-01-31,00:00,Catania,Udinese,1,1
2010-01-31,00:00,Chievo,Bologna,1,1
2010-01-31,00:00,Juventus,Lazio,1,1
2010-01-31,00:00,Milan,Livorno,1,1
2010-01-31,00:00,Roma,Siena,2,1
2010-01-31,00:00,Sampdoria,Atalanta,2,0
2010-02-06,00:00,Livorno,Juventus,1,1
2010-02-06,00:00,Palermo,Parma,2,1
2010-02-07,00:00,Atalanta,Bari,1,0
2010-02-07,00:00,Bologna,Milan,0,0
2010-02-07,00:00,Fiorentina,Roma,0,1
2010-02-07,00:00,Genoa,Chievo,1,0
2010-02-07,00:00,Inter,Cagliari,3,0
2010-02-07,00:00,Lazio,Catania,0,1
2010-02-07,00:00,Siena,Sampdoria,1,2
2010-02-07,00:00,Udinese,Napoli,3,1
2010-02-10,00:00,Parma,Inter,1,1
2010-02-12,00:00,Milan,Udinese,3,2
2010-02-13,00:00,Roma,Palermo,4,1
2010-02-13,00:00,Sampdoria,Fiorentina,2,0
2010-02-14,00:00,Cagliari,Bari,3,1
2010-02-14,00:00,Catania,Atalanta,0,0
2010-02-14,00:00,Chievo,Siena,0,1
2010-02-14,00:00,Juventus,Genoa,3,2
2010-02-14,00:00,Livorno,Bologna,0,1
2010-02-14,00:00,Napoli,Inter,0,0
2010-02-14,00:00,Parma,Lazio,0,2
2010-02-20,00:00,Genoa,Udinese,3,0
2010-02-20,00:00,Inter,Sampdoria,0,0
2010-02-21,00:00,Atalanta,Chievo,0,1
2010-02-21,00:00,Bari,Milan,0,2
2010-02-21,00:00,Bologna,Juventus,1,2
2010-02-21,00:00,Cagliari,Parma,2,0
2010-02-21,00:00,Fiorentina,Livorno,2,1
2010-02-21,00:00,Palermo,Lazio,3,1
2010-02-21,00:00,Roma,Catania,1,0
2010-02-21,00:00,Siena,Napoli,0,0
2010-02-24,00:00,Fiorentina,Milan,1,2
2010-02-24,00:00,Udinese,Cagliari,2,1
2010-02-27,00:00,Catania,Bari,4,0
2010-02-27,00:00,Lazio,Fiorentina,1,1
2010-02-28,00:00,Chievo,Cagliari,2,1
2010-02-28,00:00,Genoa,Bologna,3,4
2010-02-28,00:00,Juventus,Palermo,0,2
2010-02-28,00:00,Livorno,Siena,1,2
2010-02-28,00:00,Milan,Atalanta,3,1
2010-02-28,00:00,Napoli,Roma,2,2
2010-02-28,00:00,Parma,Sampdoria,1,0
2010-02-28,00:00,Udinese,Inter,2,3
2010-03-06,00:00,Fiorentina,Juventus,1,2
2010-03-06,00:00,Roma,Milan,0,0
2010-03-07,00:00,Atalanta,Udinese,0,0
2010-03-07,00:00,Bari,Chievo,1,0
2010-03-07,00:00,Bologna,Napoli,2,1
2010-03-07,00:00,Cagliari,Catania,2,2
2010-03-07,00:00,Inter,Genoa,0,0
2010-03-07,00:00,Palermo,Livorno,1,0
2010-03-07,00:00,Sampdoria,Lazio,2,1
2010-03-07,00:00,Siena,Parma,1,1
2010-03-12,00:00,Catania,Inter,3,1
2010-03-13,00:00,Napoli,Fiorentina,1,3
2010-03-14,00:00,Bologna,Sampdoria,1,1
2010-03-14,00:00,Genoa,Cagliari,5,3
2010-03-14,00:00,Juventus,Siena,3,3
2010-03-14,00:00,Lazio,Bari,0,2
2010-03-14,00:00,Livorno,Roma,3,3
2010-03-14,00:00,Milan,Chievo,1,0
2010-03-14,00:00,Parma,Atalanta,1,0
2010-03-14,00:00,Udinese,Palermo,3,2
2010-03-20,00:00,Fiorentina,Genoa,3,0
2010-03-20,00:00,Palermo,Inter,1,1
2010-03-20,00:00,Roma,Udinese,4,2
2010-03-21,00:00,Atalanta,Livorno,3,0
2010-03-21,00:00,Bari,Parma,1,1
2010-03-21,00:00,Cagliari,Lazio,0,2
2010-03-21,00:00,Chievo,Catania,1,1
2010-03-21,00:00,Milan,Napoli,1,1
2010-03-21,00:00,Sampdoria,Juventus,1,0
2010-03-21,00:00,Siena,Bologna,1,0
2010-03-24,00:00,Atalanta,Cagliari,3,1
2010-03-24,00:00,Bari,Sampdoria,2,1
2010-03-24,00:00,Bologna,Roma,0,2
2010-03-24,00:00,Catania,Fiorentina,1,0
2010-03-24,00:00,Genoa,Palermo,2,2
2010-03-24,00:00,Inter,Livorno,3,0
2010-03-24,00:00,Lazio,Siena,2,0
2010-03-24,00:00,Parma,Milan,1,0
2010-03-24,00:00,Udinese,Chievo,0,0
2010-03-25,00:00,Napoli,Juventus,3,1
2010-03-27,00:00,Palermo,Bologna,3,1
2010-03-27,00:00,Roma,Inter,2,1
2010-03-28,00:00,Chievo,Parma,0,0
2010-03-28,00:00,Fiorentina,Udinese,4,1
2010-03-28,00:00,Juventus,Atalanta,2,1
2010-03-28,00:00,Livorno,Bari,1,1
2010-03-28,00:00,Milan,Lazio,1,1
2010-03-28,00:00,Napoli,Catania,1,0
2010-03-28,00:00,Sampdoria,Cagliari,1,1
2010-03-28,00:00,Siena,Genoa,0,0
2010-04-03,00:00,Atalanta,Siena,2,0
2010-04-03,00:00,Bari,Roma,0,1
2010-04-03,00:00,Cagliari,Milan,2,3
2010-04-03,00:00,Catania,Palermo,2,0
2010-04-03,00:00,Chievo,Sampdoria,1,2
2010-04-03,00:00,Genoa,Livorno,1,1
2010-04-03,00:00,Inter,Bologna,3,0
2010-04-03,00:00,Lazio,Napoli,1,1
2010-04-03,00:00,Parma,Fiorentina,1,1
2010-04-03,00:00,Udinese,Juventus,3,0
2010-04-10,00:00,Fiorentina,Inter,2,2
2010-04-10,00:00,Napoli,Parma,2,3
2010-04-11,00:00,Bologna,Lazio,2,3
2010-04-11,00:00,Juventus,Cagliari,1,0
2010-04-11,00:00,Livorno,Udinese,0,2
2010-04-11,00:00,Milan,Catania,2,2
2010-04-11,00:00,Palermo,Chievo,3,1
2010-04-11,00:00,Roma,Atalanta,2,1
2010-04-11,00:00,Sampdoria,Genoa,1,0
2010-04-11,00:00,Siena,Bari,3,2
2010-04-16,00:00,Inter,Juventus,2,0
2010-04-17,00:00,Chievo,Livorno,2,0
2010-04-18,00:00,Atalanta,Fiorentina,2,1
2010-04-18,00:00,Bari,Napoli,1,2
2010-04-18,00:00,Cagliari,Palermo,2,2
2010-04-18,00:00,Catania,Siena,2,2
2010-04-18,00:00,Lazio,Roma,1,2
2010-04-18,00:00,Parma,Genoa,2,3
2010-04-18,00:00,Sampdoria,Milan,2,1
2010-04-18,00:00,Udinese,Bologna,1,1
2010-04-24,00:00,Inter,Atalanta,3,1
2010-04-24,00:00,Palermo,Milan,3,1
2010-04-25,00:00,Bologna,Parma,2,1
2010-04-25,00:00,Fiorentina,Chievo,0,2
2010-04-25,00:00,Genoa,Lazio,1,2
2010-04-25,00:00,Juventus,Bari,3,0
2010-04-25,00:00,Livorno,Catania,3,1
2010-04-25,00:00,Napoli,Cagliari,0,0
2010-04-25,00:00,Roma,Sampdoria,1,2
2010-04-25,00:00,Udinese,Siena,4,1
2010-05-01,00:00,Milan,Fiorentina,1,0
2010-05-01,00:00,Parma,Roma,1,2
2010-05-02,00:00,Atalanta,Bologna,1,1
2010-05-02,00:00,Bari,Genoa,3,0
2010-05-02,00:00,Cagliari,Udinese,2,2
2010-05-02,00:00,Catania,Juventus,1,1
2010-05-02,00:00,Chievo,Napoli,1,2
2010-05-02,00:00,Lazio,Inter,0,2
2010-05-02,00:00,Sampdoria,Livorno,2,0
2010-05-02,00:00,Siena,Palermo,1,2
2010-05-09,00:00,Bologna,Catania,1,1
2010-05-09,00:00,Fiorentina,Siena,1,1
2010-05-09,00:00,Genoa,Milan,1,0
2010-05-09,00:00,Inter,Chievo,4,3
2010-05-09,00:00,Juventus,Parma,2,3
2010-05-09,00:00,Livorno,Lazio,1,2
2010-05-09,00:00,Napoli,Atalanta,2,0
2010-05-09,00:00,Palermo,Sampdoria,1,1
2010-05-09,00:00,Roma,Cagliari,2,1
2010-05-09,00:00,Udinese,Bari,3,3
2010-05-15,00:00,Lazio,Udinese,3,1
2010-05-15,00:00,Milan,Juventus,3,0
2010-05-16,00:00,Atalanta,Palermo,1,2
2010-05-16,00:00,Bari,Fiorentina,2,0
2010-05-16,00:00,Cagliari,Bologna,1,1
2010-05-16,00:00,Catania,Genoa,1,0
2010-05-16,00:00,Chievo,Roma,0,2
2010-05-16,00:00,Parma,Livorno,4,1
2010-05-16,00:00,Sampdoria,Napoli,1,0
2010-05-16,00:00,Siena,Inter,0,1
28/08/10,00:00,Roma,Cesena,0,0
28/08/10,00:00,Udinese,Genoa,0,1
29/08/10,00:00,Bari,Juventus,1,0
29/08/10,00:00,Chievo,Catania,2,1
29/08/10,00:00,Fiorentina,Napoli,1,1
29/08/10,00:00,Milan,Lecce,4,0
29/08/10,00:00,Palermo,Cagliari,0,0
29/08/10,00:00,Parma,Brescia,2,0
29/08/10,00:00,Sampdoria,Lazio,2,0
30/08/10,00:00,Bologna,Inter,0,0
11/09/10,00:00,Cagliari,Roma,5,1
11/09/10,00:00,Cesena,Milan,2,0
11/09/10,00:00,Inter,Udinese,2,1
12/09/10,00:00,Brescia,Palermo,3,2
12/09/10,00:00,Catania,Parma,2,1
12/09/10,00:00,Genoa,Chievo,1,3
12/09/10,00:00,Juventus,Sampdoria,3,3
12/09/10,00:00,Lazio,Bologna,3,1
12/09/10,00:00,Lecce,Fiorentina,1,0
12/09/10,00:00,Napoli,Bari,2,2
18/09/10,00:00,Fiorentina,Lazio,1,2
18/09/10,00:00,Milan,Catania,1,1
19/09/10,00:00,Bari,Cagliari,0,0
19/09/10,00:00,Cesena,Lecce,1,0
19/09/10,00:00,Chievo,Brescia,0,1
19/09/10,00:00,Palermo,Inter,1,2
19/09/10,00:00,Parma,Genoa,1,1
19/09/10,00:00,Roma,Bologna,2,2
19/09/10,00:00,Sampdoria,Napoli,1,2
19/09/10,00:00,Udinese,Juventus,0,4
22/09/10,00:00,Bologna,Udinese,2,1
22/09/10,00:00,Brescia,Roma,2,1
22/09/10,00:00,Cagliari,Sampdoria,0,0
22/09/10,00:00,Catania,Cesena,2,0
22/09/10,00:00,Genoa,Fiorentina,1,1
22/09/10,00:00,Inter,Bari,4,0
22/09/10,00:00,Lazio,Milan,1,1
22/09/10,00:00,Lecce,Parma,1,1
22/09/10,00:00,Napoli,Chievo,1,3
23/09/10,00:00,Juventus,Palermo,1,3
25/09/10,00:00,Milan,Genoa,1,0
25/09/10,00:00,Roma,Inter,1,0
26/09/10,00:00,Bari,Brescia,2,1
26/09/10,00:00,Catania,Bologna,1,1
26/09/10,00:00,Cesena,Napoli,1,4
26/09/10,00:00,Chievo,Lazio,0,1
26/09/10,00:00,Fiorentina,Parma,2,0
26/09/10,00:00,Juventus,Cagliari,4,2
26/09/10,00:00,Palermo,Lecce,2,2
26/09/10,00:00,Sampdoria,Udinese,0,0
02/10/10,00:00,Parma,Milan,0,1
02/10/10,00:00,Udinese,Cesena,1,0
03/10/10,00:00,Bologna,Sampdoria,1,1
03/10/10,00:00,Chievo,Cagliari,0,0
03/10/10,00:00,Fiorentina,Palermo,1,2
03/10/10,00:00,Genoa,Bari,2,1
03/10/10,00:00,Inter,Juventus,0,0
03/10/10,00:00,Lazio,Brescia,1,0
03/10/10,00:00,Lecce,Catania,1,0
03/10/10,00:00,Napoli,Roma,2,0
16/10/10,00:00,Milan,Chievo,3,1
16/10/10,00:00,Roma,Genoa,2,1
17/10/10,00:00,Bari,Lazio,0,2
17/10/10,00:00,Brescia,Udinese,0,1
17/10/10,00:00,Cagliari,Inter,0,1
17/10/10,00:00,Catania,Napoli,1,1
17/10/10,00:00,Cesena,Parma,1,1
17/10/10,00:00,Juventus,Lecce,4,0
17/10/10,00:00,Palermo,Bologna,4,1
