yyyy-mm-dd,HH:MM,team1,team2,score1,score2
08/01/17,00:00,Genoa,Roma,0,1
08/01/17,00:00,Juventus,Bologna,3,0
08/01/17,00:00,Milan,Cagliari,1,0
08/01/17,00:00,Sassuolo,Torino,0,0
08/01/17,00:00,Udinese,Inter,1,2
14/01/17,00:00,Inter,Chievo,3,1
15/01/17,00:00,Cagliari,Genoa,4,1
15/01/17,00:00,Fiorentina,Juventus,2,1
15/01/17,00:00,Lazio,Atalanta,2,1
15/01/17,00:00,Sampdoria,Empoli,0,0
15/01/17,00:00,Udinese,Roma,0,1
16/01/17,00:00,Torino,Milan,2,2
21/01/17,00:00,Chievo,Fiorentina,0,3
21/01/17,00:00,Milan,Napoli,1,2
22/01/17,00:00,Atalanta,Sampdoria,1,0
22/01/17,00:00,Bologna,Torino,2,0
22/01/17,00:00,Empoli,Udinese,1,0
22/01/17,00:00,Juventus,Lazio,2,0
22/01/17,00:00,Roma,Cagliari,1,0
28/01/17,00:00,Lazio,Chievo,0,1
29/01/17,00:00,Cagliari,Bologna,1,1
29/01/17,00:00,Fiorentina,Genoa,3,3
29/01/17,00:00,Sampdoria,Roma,3,2
29/01/17,00:00,Sassuolo,Juventus,0,2
29/01/17,00:00,Torino,Atalanta,1,1
29/01/17,00:00,Udinese,Milan,2,1
04/02/17,00:00,Bologna,Napoli,1,7
05/02/17,00:00,Atalanta,Cagliari,2,0
05/02/17,00:00,Chievo,Udinese,0,0
05/02/17,00:00,Empoli,Torino,1,1
05/02/17,00:00,Genoa,Sassuolo,0,1
05/02/17,00:00,Juventus,Inter,1,0
05/02/17,00:00,Milan,Sampdoria,0,1
07/02/17,00:00,Roma,Fiorentina,4,0
08/02/17,00:00,Bologna,Milan,0,1
10/02/17,00:00,Napoli,Genoa,2,0
11/02/17,00:00,Fiorentina,Udinese,3,0
12/02/17,00:00,Cagliari,Juventus,0,2
12/02/17,00:00,Inter,Empoli,2,0
12/02/17,00:00,Sampdoria,Bologna,3,1
12/02/17,00:00,Sassuolo,Chievo,1,3
13/02/17,00:00,Lazio,Milan,1,1
